theta,Ed_normalized
0.0,0.2749356930620412
0.008738783459220564,0.27442367945018353
0.01747756691844113,0.27290401512689433
0.026216350377661693,0.2704117492365187
0.03495513383688226,0.2670030448590262
0.04369391729610282,0.2627520984943543
0.052432700755323386,0.2577472736134806
0.06117148421454395,0.2520868069947219
0.06991026767376451,0.24587444822191104
0.07864905113298508,0.23921535033231006
0.08738783459220564,0.23221245661941314
0.09612661805142621,0.22496354121979267
0.10486540151064677,0.21755897442383487
0.11360418496986734,0.21008020895711135
0.1223429684290879,0.202598927234242
0.13108175188830845,0.19517675365362003
0.13982053534752903,0.18786541876896198
0.1485593188067496,0.18070725997037304
0.15729810226597016,0.17373595169135245
0.1660368857251907,0.1669773728644247
0.1747756691844113,0.1604505368423279
0.18351445264363186,0.1541685266932869
0.19225323610285242,0.14813939500046158
0.20099201956207297,0.14236700115248552
0.20973080302129354,0.13685177028363552
0.21846958648051412,0.13159136656909576
0.22720836993973467,0.12658127978372766
0.23594715339895522,0.12181532827326141
0.2446859368581758,0.11728608416726219
0.2534247203173964,0.11298522815903006
0.2621635037766169,0.10890384181311759
0.2709022872358375,0.10503264540143781
0.27964107069505806,0.1013621889210008
0.28837985415427864,0.09788300336559941
0.2971186376134992,0.09458571862260506
0.30585742107271974,0.09146115362239447
0.3145962045319403,0.08850038363342165
0.3233349879911609,0.08569478890262411
0.3320737714503814,0.08303608820671858
0.340812554909602,0.08051636031328019
0.3495513383688226,0.07812805585308902
0.35829012182804315,0.07586400167475035
0.36702890528726373,0.0737173993843029
0.37576768874648425,0.07168181946044595
0.38450647220570483,0.06975119207370185
0.3932452556649254,0.06791979551889371
0.40198403912414593,0.06618224298872265
0.4107228225833665,0.06453346826644998
0.4194616060425871,0.06296871079279855
0.42820038950180767,0.06148350046185477
0.43693917296102824,0.060073642419240174
0.44567795642024877,0.05873520206991709
0.45441673987946934,0.05746449044998569
0.4631555233386899,0.056258050074423055
0.47189430679791045,0.055112641338994676
0.480633090257131,0.05402522952793768
0.4893718737163516,0.05299297245814706
0.4981106571755722,0.05201320877439978
0.5068494406347928,0.051083446897725086
0.5155882240940133,0.050201354619633855
0.5243270075532338,0.04936474932795307
0.5330657910124544,0.04857158884497777
0.541804574471675,0.04781996285515379
0.5505433579308956,0.0471080848972133
0.5592821413901161,0.04643428489433915
0.5680209248493366,0.04579700219532114
0.5767597083085573,0.04519477909961597
0.5854984917677778,0.04462625483959868
0.5942372752269984,0.04409015999398361
0.602976058686219,0.04358531130731583
0.6117148421454395,0.04311060689151628
0.6204536256046601,0.04266502178665593
0.6291924090638806,0.04224760385939257
0.6379311925231012,0.04185747001879402
0.6466699759823218,0.04149380273057614
0.6554087594415423,0.04115584681207504
0.6641475429007628,0.040842906491545504
0.6728863263599835,0.04055434271661795
0.681625109819204,0.040289570697948585
0.6903638932784246,0.04004805767525916
0.6991026767376451,0.0398293208940803
0.7078414601968657,0.03963292578258675
0.7165802436560863,0.03945848431894427
0.7253190271153068,0.0393056535805776
0.7340578105745275,0.0391741344677191
0.742796594033748,0.039063670594513544
0.7515353774929685,0.03897404734183424
0.7602741609521891,0.038905091066819664
0.7690129444114097,0.038856668464964536
0.7777517278706302,0.03882868608140472
0.7864905113298508,0.0388210899688213
0.7952292947890713,0.0388338654901621
0.8039680782482919,0.03886703726514176
0.8127068617075125,0.03892066926023862
0.821445645166733,0.03899486502266229
